measurement_unit;name
г;абрикосовое варенье
г;абрикосовое пюре
г;абрикосовый джем
стакан;абрикосовый сок
г;абрикосы
г;абрикосы консервированные
по вкусу;авокадо
г;агава сироп
г;агар-агар
г;аграм
г;аджика
г;аджика зеленая
по вкусу;айва
г;айвовое пюре
г;айран
г;айсинг
г;акула стейки
стакан;алкоголь
ст. л.;алкоголь крепкий
г;алыча
шт.;альбухара
г;альмехи
г;амарантовая мука
г;ананасовый сироп
г;ананасовый сок
г;ананасы
г;ананасы вяленые
по вкусу;ананасы консервированные
по вкусу;анис
г;анис звездочки
мл;анисовый ликер
г;анис семена
г;анчоусы
г;апельсиновая вода
г;апельсиновая цедра
ч. л.;апельсиновая эссенция
г;апельсиновое варенье
г;апельсиновые цукаты
г;апельсиновый джем
г;апельсиновый джем с имбирем
г;апельсиновый ликер
стакан;апельсиновый сироп
по вкусу;апельсиновый сок
г;апельсиновый сок свежевыжатый
ст. л.;апельсиновый уксус
ч. л.;апельсиновый экстракт
г;апельсины
шт.;апельсины красные
шт.;апельсины крупные
г;арахис
г;арахис жареный
г;арахисовая паста
г;арахисовое масло
г;арахис соленый
г;арбузная мякоть
г;арбузы
г;аргановое масло
г;аришта
г;ароматизатор
по вкусу;"ароматизатор ""ананас"""
капля;"ароматизатор ""вишня"""
капля;"ароматизатор ""малина"""
г;"ароматизатор ""ром"""
г;артишоки
г;артишоки в масле
г;артишоки маринованные
шт.;аспирин
г;ассорти мясное
г;ассорти овощное
г;ассорти фруктовое
г;ассорти ягодное
г;аши
г;багет
г;багет вчерашний
г;багет мини
звездочка;бадан
щепотка;бадьян
г;базилик лимонный
г;базилик свежий
г;базилик сушеный
горсть;базилик тайский
г;базилик фиолетовый
по вкусу;баклажаны
г;баклажаны мини
г;баклажаны тайские
г;балык
г;бальзам
стакан;бальзамический крем
ст. л.;бальзамический соус
стакан;бальзамический уксус
ст. л.;бальзам рижский черный
г;бамия
г;банановое пюре
горсть;банановые чипсы
мл;банановый зеленый сироп
мл;банановый ликер
г;бананы
г;бананы мини
г;барабулька
г;бараний ливер
кусок;бараний окорок на косточке
г;бараний фарш
г;баранина
г;баранки
кг;бараньи антрекоты
шт.;бараньи голяшки
кг;бараньи потроха
шт.;бараньи ребрышки
кг;баранья лопатка
г;баранья нога
